Time	UTC	GPS_lat(deg)	GPS_long(deg)	FINKEN_ACTUATORS_MODEL:thrust	ROTORCRAFT_STATUS:vsupply	FINKEN_SENSOR_MODEL:pos_z
66.905	16:58:54.140	43.462229950	1.272889989	0.346629	125	0.332031
67.155	16:58:54.390	43.462229950	1.272889989	0.254396	125	0.199219
67.405	16:58:54.640	43.462229950	1.272889989	0.252759	125	0.199219
67.655	16:58:54.890	43.462229950	1.272889989	0.253337	125	0.199219
67.905	16:58:55.140	43.462229950	1.272889989	0.254602	125	0.199219
68.155	16:58:55.390	43.462229950	1.272889989	0.255235	125	0.199219
68.405	16:58:55.640	43.462229950	1.272889989	0.255869	125	0.199219
68.655	16:58:55.890	43.462229950	1.272889989	0.256502	125	0.199219
68.905	16:58:56.140	43.462229950	1.272889989	0.257769	125	0.199219
69.155	16:58:56.390	43.462229950	1.272889989	0.258402	125	0.199219
69.405	16:58:56.640	43.462229950	1.272889989	0.259035	125	0.199219
69.655	16:58:56.890	43.462229950	1.272889989	0.259035	125	0.199219
69.905	16:58:57.140	43.462229950	1.272889989	0.260936	125	0.199219
70.155	16:58:57.390	43.462229950	1.272889989	0.261569	125	0.199219
70.405	16:58:57.640	43.462229950	1.272889989	0.262202	125	0.199219
70.655	16:58:57.890	43.462229950	1.272889989	0.262836	125	0.199219
70.905	16:58:58.140	43.462229950	1.272889989	0.264102	125	0.199219
71.155	16:58:58.390	43.462229950	1.272889989	0.264736	125	0.199219
71.405	16:58:58.640	43.462229950	1.272889989	0.265369	125	0.199219
71.655	16:58:58.890	43.462229950	1.272889989	0.266003	125	0.382812
71.905	16:58:59.140	43.462229950	1.272889989	0.2	125	1.296875
72.155	16:58:59.390	43.462229950	1.272889989	0.2	125	1.296875
72.405	16:58:59.640	43.462229950	1.272889989	0.2	125	1.078125
72.655	16:58:59.890	43.462229950	1.272889989	0.2	125	1.296875
72.905	16:59:0.140	43.462229950	1.272889989	0.2	125	1.296875
73.155	16:59:0.390	43.462229950	1.272889989	0.2	125	1.296875
73.405	16:59:0.640	43.462229950	1.272889989	0.2	125	1.296875
