Time	UTC	GPS_lat(deg)	GPS_long(deg)	FINKEN_ACTUATORS_SET_POINT:thrust	ROTORCRAFT_STATUS:vsupply	FINKEN_SENSOR_MODEL:pos_z
56.498	10:19:46.533	43.462229950	1.272889989	0.35	125	0.316406
56.748	10:19:46.783	43.462229950	1.272889989	0.35	125	0.410156
56.998	10:19:47.033	43.462229950	1.272889989	0.35	125	0.523438
57.248	10:19:47.283	43.462229950	1.272889989	0.3634	121	0.574219
57.498	10:19:47.533	43.462229950	1.272889989	0.376923	121	0.589844
57.748	10:19:47.783	43.462229950	1.272889989	0.367967	121	0.609375
57.998	10:19:48.033	43.462229950	1.272889989	0.333541	121	0.671875
58.248	10:19:48.283	43.462229950	1.272889989	0.384962	121	0.667969
58.498	10:19:48.533	43.462229950	1.272889989	0.3587	121	0.726562
58.748	10:19:48.783	43.462229950	1.272889989	0.372843	121	0.726562
58.998	10:19:49.033	43.462229950	1.272889989	0.371171	121	0.726562
59.248	10:19:49.283	43.462229950	1.272889989	0.360831	120	0.738281
59.498	10:19:49.533	43.462229950	1.272889989	0.360622	120	0.765625
59.748	10:19:49.783	43.462229950	1.272889989	0.397753	120	0.726562
59.998	10:19:50.033	43.462229950	1.272889989	0.40579	120	0.714844
60.248	10:19:50.283	43.462229950	1.272889989	0.374892	120	0.691406
60.498	10:19:50.533	43.462229950	1.272889989	0.36522	120	0.695312
60.748	10:19:50.783	43.462229950	1.272889989	0.360661	120	0.695312
60.998	10:19:51.033	43.462229950	1.272889989	0.368817	120	0.738281
61.248	10:19:51.283	43.462229950	1.272889989	0.375776	120	0.722656
61.498	10:19:51.533	43.462229950	1.272889989	0.344562	120	0.742188
61.748	10:19:51.783	43.462229950	1.272889989	0.356073	120	0.699219
61.998	10:19:52.033	43.462229950	1.272889989	0.36618	120	0.730469
62.248	10:19:52.283	43.462229950	1.272889989	0.38165	120	0.710938
62.498	10:19:52.533	43.462229950	1.272889989	0.381644	120	0.675781
62.748	10:19:52.783	43.462229950	1.272889989	0.388846	120	0.648438
62.998	10:19:53.033	43.462229950	1.272889989	0.392015	120	0.617188
63.248	10:19:53.283	43.462229950	1.272889989	0.36763	119	0.601562
63.498	10:19:53.533	43.462229950	1.272889989	0.384593	119	0.585938
63.748	10:19:53.783	43.462229950	1.272889989	0.376526	119	0.585938
63.998	10:19:54.033	43.462229950	1.272889989	0.36699	119	0.605469
64.248	10:19:54.283	43.462229950	1.272889989	0.375718	119	0.613281
64.498	10:19:54.533	43.462229950	1.272889989	0.368725	119	0.621094
64.748	10:19:54.783	43.462229950	1.272889989	0.380084	119	0.644531
64.998	10:19:55.033	43.462229950	1.272889989	0.372692	119	0.652344
65.248	10:19:55.283	43.462229950	1.272889989	0.392258	119	0.625
65.498	10:19:55.533	43.462229950	1.272889989	0.385679	119	0.59375
65.748	10:19:55.783	43.462229950	1.272889989	0.387044	119	0.566406
65.998	10:19:56.033	43.462229950	1.272889989	0.3849	119	0.550781
66.248	10:19:56.283	43.462229950	1.272889989	0.392983	119	0.550781
66.498	10:19:56.533	43.462229950	1.272889989	0.379644	119	0.523438
66.748	10:19:56.783	43.462229950	1.272889989	0.381549	119	0.527344
66.998	10:19:57.033	43.462229950	1.272889989	0.374337	119	0.539062
67.248	10:19:57.283	43.462229950	1.272889989	0.39254	119	0.523438
67.498	10:19:57.533	43.462229950	1.272889989	0.370927	119	0.542969
67.748	10:19:57.783	43.462229950	1.272889989	0.374877	119	0.570312
67.998	10:19:58.033	43.462229950	1.272889989	0.380057	119	0.570312
68.248	10:19:58.283	43.462229950	1.272889989	0.384133	119	0.5625
68.498	10:19:58.533	43.462229950	1.272889989	0.386566	119	0.558594
68.748	10:19:58.783	43.462229950	1.272889989	0.381584	119	0.554688
68.998	10:19:59.033	43.462229950	1.272889989	0.381506	119	0.554688
69.248	10:19:59.283	43.462229950	1.272889989	0.377101	119	0.558594
69.498	10:19:59.533	43.462229950	1.272889989	0.382413	119	0.554688
69.748	10:19:59.783	43.462229950	1.272889989	0.383605	119	0.550781
69.998	10:20:0.033	43.462229950	1.272889989	0.370398	119	0.566406
70.248	10:20:0.283	43.462229950	1.272889989	0.379345	119	0.570312
70.498	10:20:0.533	43.462229950	1.272889989	0.389515	119	0.558594
70.748	10:20:0.783	43.462229950	1.272889989	0.385673	119	0.542969
70.998	10:20:1.033	43.462229950	1.272889989	0.374893	119	0.546875
71.248	10:20:1.283	43.462229950	1.272889989	0.386757	119	0.539062
71.498	10:20:1.533	43.462229950	1.272889989	0.377843	119	0.539062
71.748	10:20:1.783	43.462229950	1.272889989	0.378986	119	0.558594
71.998	10:20:2.033	43.462229950	1.272889989	0.374957	119	0.578125
72.248	10:20:2.283	43.462229950	1.272889989	0.387859	119	0.566406
72.498	10:20:2.533	43.462229950	1.272889989	0.385008	119	0.558594
72.748	10:20:2.783	43.462229950	1.272889989	0.384343	119	0.546875
72.998	10:20:3.033	43.462229950	1.272889989	0.382827	119	0.546875
73.248	10:20:3.283	43.462229950	1.272889989	0.385016	119	0.539062
73.498	10:20:3.533	43.462229950	1.272889989	0.384519	119	0.535156
73.748	10:20:3.783	43.462229950	1.272889989	0.388217	119	0.527344
73.998	10:20:4.033	43.462229950	1.272889989	0.38524	119	0.527344
74.248	10:20:4.283	43.462229950	1.272889989	0.385343	119	0.527344
74.498	10:20:4.533	43.462229950	1.272889989	0.391175	119	0.527344
74.748	10:20:4.783	43.462229950	1.272889989	0.39278	119	0.515625
74.998	10:20:5.033	43.462229950	1.272889989	0.382681	119	0.515625
75.248	10:20:5.283	43.462229950	1.272889989	0.386382	118	0.519531
75.498	10:20:5.533	43.462229950	1.272889989	0.381707	118	0.53125
75.748	10:20:5.783	43.462229950	1.272889989	0.383821	118	0.539062
75.998	10:20:6.033	43.462229950	1.272889989	0.388709	118	0.539062
76.248	10:20:6.283	43.462229950	1.272889989	0.388535	118	0.527344
76.498	10:20:6.533	43.462229950	1.272889989	0.398429	118	0.523438
76.748	10:20:6.783	43.462229950	1.272889989	0.377937	118	0.519531
76.998	10:20:7.033	43.462229950	1.272889989	0.372934	118	0.542969
77.248	10:20:7.283	43.462229950	1.272889989	0.38267	118	0.5625
77.498	10:20:7.533	43.462229950	1.272889989	0.386681	118	0.5625
77.748	10:20:7.783	43.462229950	1.272889989	0.381458	118	0.5625
77.998	10:20:8.033	43.462229950	1.272889989	0.374914	118	0.578125
78.248	10:20:8.283	43.462229950	1.272889989	0.37472	118	0.597656
78.498	10:20:8.533	43.462229950	1.272889989	0.395746	118	0.589844
78.748	10:20:8.783	43.462229950	1.272889989	0.374138	118	0.59375
78.998	10:20:9.033	43.462229950	1.272889989	0.387995	118	0.59375
79.248	10:20:9.283	43.462229950	1.272889989	0.39664	118	0.5625
79.498	10:20:9.533	43.462229950	1.272889989	0.38348	118	0.558594
79.748	10:20:9.783	43.462229950	1.272889989	0.381833	118	0.566406
79.998	10:20:10.033	43.462229950	1.272889989	0.369852	118	0.566406
80.248	10:20:10.283	43.462229950	1.272889989	0.406778	118	0.550781
80.498	10:20:10.533	43.462229950	1.272889989	0.379708	118	0.554688
80.748	10:20:10.783	43.462229950	1.272889989	0.39319	118	0.566406
80.998	10:20:11.033	43.462229950	1.272889989	0.398644	118	0.550781
81.248	10:20:11.283	43.462229950	1.272889989	0.406106	118	0.527344
81.498	10:20:11.533	43.462229950	1.272889989	0.395957	118	0.5
81.748	10:20:11.783	43.462229950	1.272889989	0.391605	118	0.480469
81.998	10:20:12.033	43.462229950	1.272889989	0.385828	118	0.492188
82.248	10:20:12.283	43.462229950	1.272889989	0.389384	118	0.492188
82.498	10:20:12.533	43.462229950	1.272889989	0.385975	118	0.503906
82.748	10:20:12.783	43.462229950	1.272889989	0.394469	118	0.507812
82.998	10:20:13.033	43.462229950	1.272889989	0.384056	118	0.523438
83.248	10:20:13.283	43.462229950	1.272889989	0.365844	118	0.546875
83.498	10:20:13.533	43.462229950	1.272889989	0.403908	118	0.53125
83.748	10:20:13.783	43.462229950	1.272889989	0.398062	118	0.519531
83.998	10:20:14.033	43.462229950	1.272889989	0.411369	118	0.488281
84.248	10:20:14.283	43.462229950	1.272889989	0.399197	118	0.460938
84.498	10:20:14.533	43.462229950	1.272889989	0.375717	118	0.492188
84.748	10:20:14.783	43.462229950	1.272889989	0.385137	118	0.507812
84.998	10:20:15.033	43.462229950	1.272889989	0.384731	118	0.515625
85.248	10:20:15.283	43.462229950	1.272889989	0.390876	118	0.519531
85.498	10:20:15.533	43.462229950	1.272889989	0.392789	118	0.511719
85.748	10:20:15.783	43.462229950	1.272889989	0.394683	118	0.503906
85.998	10:20:16.033	43.462229950	1.272889989	0.386495	118	0.523438
86.248	10:20:16.283	43.462229950	1.272889989	0.410313	118	0.539062
86.498	10:20:16.533	43.462229950	1.272889989	0.381034	118	0.535156
86.748	10:20:16.783	43.462229950	1.272889989	0.386834	118	0.550781
86.998	10:20:17.033	43.462229950	1.272889989	0.392328	118	0.542969
87.248	10:20:17.283	43.462229950	1.272889989	0.37842	118	0.554688
87.498	10:20:17.533	43.462229950	1.272889989	0.381231	118	0.578125
87.748	10:20:17.783	43.462229950	1.272889989	0.388963	118	0.578125
87.998	10:20:18.033	43.462229950	1.272889989	0.38547	118	0.582031
88.248	10:20:18.283	43.462229950	1.272889989	0.388507	118	0.585938
88.498	10:20:18.533	43.462229950	1.272889989	0.383349	118	0.582031
88.748	10:20:18.783	43.462229950	1.272889989	0.409729	118	0.585938
88.998	10:20:19.033	43.462229950	1.272889989	0.400712	118	0.542969
89.248	10:20:19.283	43.462229950	1.272889989	0.383129	118	0.539062
89.498	10:20:19.533	43.462229950	1.272889989	0.387594	118	0.558594
89.748	10:20:19.783	43.462229950	1.272889989	0.380884	118	0.566406
89.998	10:20:20.033	43.462229950	1.272889989	0.398409	118	0.570312
90.248	10:20:20.283	43.462229950	1.272889989	0.392709	118	0.574219
90.498	10:20:20.533	43.462229950	1.272889989	0.390213	118	0.570312
90.748	10:20:20.783	43.462229950	1.272889989	0.39588	118	0.570312
90.998	10:20:21.033	43.462229950	1.272889989	0.39451	118	0.570312
91.248	10:20:21.283	43.462229950	1.272889989	0.382149	118	0.585938
91.498	10:20:21.533	43.462229950	1.272889989	0.387346	118	0.589844
91.748	10:20:21.783	43.462229950	1.272889989	0.390508	118	0.578125
91.998	10:20:22.033	43.462229950	1.272889989	0.389938	118	0.578125
92.248	10:20:22.283	43.462229950	1.272889989	0.38901	118	0.570312
92.498	10:20:22.533	43.462229950	1.272889989	0.398194	118	0.550781
92.748	10:20:22.783	43.462229950	1.272889989	0.390849	118	0.554688
92.998	10:20:23.033	43.462229950	1.272889989	0.389397	118	0.5625
93.248	10:20:23.283	43.462229950	1.272889989	0.390482	117	0.570312
93.498	10:20:23.533	43.462229950	1.272889989	0.381588	117	0.585938
93.748	10:20:23.783	43.462229950	1.272889989	0.384899	117	0.574219
93.998	10:20:24.033	43.462229950	1.272889989	0.394826	117	0.566406
94.248	10:20:24.283	43.462229950	1.272889989	0.387966	117	0.582031
94.498	10:20:24.533	43.462229950	1.272889989	0.38779	117	0.585938
94.748	10:20:24.783	43.462229950	1.272889989	0.398047	117	0.574219
94.998	10:20:25.033	43.462229950	1.272889989	0.394926	117	0.566406
