Time	UTC	GPS_lat(deg)	GPS_long(deg)	FINKEN_ACTUATORS_MODEL:thrust	FINKEN_ACTUATORS_SET_POINT:thrust	ROTORCRAFT_STATUS:vsupply	FINKEN_SENSOR_MODEL:pos_z
37.771	10:51:51.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
38.021	10:51:52.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
38.271	10:51:52.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
38.521	10:51:52.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
38.771	10:51:52.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
39.021	10:51:53.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
39.271	10:51:53.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
39.521	10:51:53.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
39.771	10:51:53.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
40.021	10:51:54.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
40.271	10:51:54.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
40.521	10:51:54.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
40.771	10:51:54.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
41.021	10:51:55.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
41.271	10:51:55.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
41.521	10:51:55.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
41.771	10:51:55.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
42.021	10:51:56.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
42.271	10:51:56.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
42.521	10:51:56.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
42.771	10:51:56.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
43.021	10:51:57.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
43.271	10:51:57.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
43.521	10:51:57.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
43.771	10:51:57.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
44.021	10:51:58.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
44.271	10:51:58.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
44.521	10:51:58.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
44.771	10:51:58.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
45.021	10:51:59.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
45.271	10:51:59.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
45.521	10:51:59.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
45.771	10:51:59.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
46.021	10:52:0.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
46.271	10:52:0.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
46.521	10:52:0.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
46.771	10:52:0.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
47.021	10:52:1.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
47.271	10:52:1.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
47.521	10:52:1.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
47.771	10:52:1.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
48.021	10:52:2.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
48.271	10:52:2.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
48.521	10:52:2.721	43.462229950	1.272889989	0.35	0.35	126	0.242188
48.771	10:52:2.971	43.462229950	1.272889989	0.35	0.35	126	0.242188
49.021	10:52:3.221	43.462229950	1.272889989	0.35	0.35	126	0.242188
49.271	10:52:3.471	43.462229950	1.272889989	0.35	0.35	126	0.242188
